url,title,slugTitle,error,- 1 pc,- 20 pcs box,- 5-piece bulk case,- 50-piece bulk case,- Single unit,Adjustable,Adjustment Modes,Also Known As,Application,Applications,Available Configurations,Available Lengths,Binder Type,Branding,Break Strength (BS),Breaking Strength,Bulk Box Dimensions,Bulk Box Weight,Bulk Case Dimensions,Bulk Case Weight,Bundle Size,Bundle size,Capacity,Chain Compatibility,Chain Diameter,Chain Size Compatibility,Cold-Weather Rating,Collapsed Length,Color,Compatible Chain Grades,Compliance,Corner Protector Compatibility,Corrosion Resistance,Depth,Design Style,Diameter,Dimension,Dimensions,End Fitting,End Hardware,Ending Fitting,Ending fitting,Finish,Fixed End Length,Fixed End to Ratchet,Grade,Handle Material,Handle Style,Head Material,Height,Hook Material,Hook Style,Hook Type,Ideal For,Length,Load limit,Locking Mechanism,Material,Natural Length,Operation,Overall Length,PCP color,Primary Applications,Profile,Reusable,Security Feature,Shipping Dimensions,Side Drop,Single-Rack Capacity,Size,Standard,Stopper,Strap Compatibility,Strap Length,Strap Width,Style,Thickness,Tie-Down Capacity,Track Compatibility,Type,UV Resistance,Usage Note,Variants,Wall Thickness,Webbing Color,Webbing Material,Weight,Weight (lbs),Width,Working Load Limit,Working Load Limit (WLL),- 1 pc slug,- 20 pcs box slug,- 5-piece bulk case slug,- 50-piece bulk case slug,- Single unit slug,Adjustable slug,Adjustment Modes slug,Also Known As slug,Application slug,Applications slug,Available Configurations slug,Available Lengths slug,Binder Type slug,Branding slug,Break Strength (BS) slug,Breaking Strength slug,Bulk Box Dimensions slug,Bulk Box Weight slug,Bulk Case Dimensions slug,Bulk Case Weight slug,Bundle Size slug,Bundle size slug,Capacity slug,Chain Compatibility slug,Chain Diameter slug,Chain Size Compatibility slug,Cold-Weather Rating slug,Collapsed Length slug,Color slug,Compatible Chain Grades slug,Compliance slug,Corner Protector Compatibility slug,Corrosion Resistance slug,Depth slug,Design Style slug,Diameter slug,Dimension slug,Dimensions slug,End Fitting slug,End Hardware slug,Ending Fitting slug,Ending fitting slug,Finish slug,Fixed End Length slug,Fixed End to Ratchet slug,Grade slug,Handle Material slug,Handle Style slug,Head Material slug,Height slug,Hook Material slug,Hook Style slug,Hook Type slug,Ideal For slug,Length slug,Load limit slug,Locking Mechanism slug,Material slug,Natural Length slug,Operation slug,Overall Length slug,PCP color slug,Primary Applications slug,Profile slug,Reusable slug,Security Feature slug,Shipping Dimensions slug,Side Drop slug,Single-Rack Capacity slug,Size slug,Standard slug,Stopper slug,Strap Compatibility slug,Strap Length slug,Strap Width slug,Style slug,Thickness slug,Tie-Down Capacity slug,Track Compatibility slug,Type slug,UV Resistance slug,Usage Note slug,Variants slug,Wall Thickness slug,Webbing Color slug,Webbing Material slug,Weight slug,Weight (lbs) slug,Width slug,Working Load Limit slug,Working Load Limit (WLL) slug
https://fleet-hero.com/products/ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,"Ratchet Load Binder Lever Type 3/8"" - 1/2"" WLL9,200lbs",ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,"Flatbed cargo securement, heavy haul chain tensioning, DOT-compliant load binding",,,,,,,,,,,,,,,"3/8"" to 1/2"" transport chain",,,,,,"G70, G80 transport chain",Designed to support FMCSA 49 CFR Part 393 cargo securement standards,,,,,,,,,,,,Corrosion-resistant coating,,,,,,,,,,,"Flatbed trailers, step decks, RGN trailers, owner-operators, fleet drivers, heavy haul operators",,,,High-strength steel,,,,,,,,,,,,,,,,,,,,,,Lever-type load binder,,,,,,,,,,,"9,200 lbs",,,,,,,,,application-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,,,,,,chain-compatibility-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,compatible-chain-grades-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,compliance-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,,,finish-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,,ideal-for-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,material-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,,,,,,,,,,,,,type-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs,,,,,,,,,,,working-load-limit-wll-ratchet-load-binder-lever-type-3-8-1-2-wll9-200lbs
https://fleet-hero.com/products/coil-rack,Coil Rack,coil-rack,,,,,,,,,"Coil chock, coil bunk",,,,,,,,,,,,,,,,,,,,,Black,,,,,,Half-saddle for hardwood timber integration,,,,,,,,,,,,,,,,,,,,33 inches,,,10-gauge galvanized steel,,,,,,,,,,,"Up to 10,000 lbs",,,,,,,,,,,,,,,,,,38 lbs,,,,,,,,,,,,also-known-as-coil-rack,,,,,,,,,,,,,,,,,,,,,color-coil-rack,,,,,,design-style-coil-rack,,,,,,,,,,,,,,,,,,,,length-coil-rack,,,material-coil-rack,,,,,,,,,,,single-rack-capacity-coil-rack,,,,,,,,,,,,,,,,,,weight-coil-rack,,,,
https://fleet-hero.com/products/ratchet-strap-with-chain-anchor,Ratchet Strap with Chain Anchor,ratchet-strap-with-chain-anchor,,,,,,,,,,,,,,,,,,,,,,1-Pack,,"16,000 lbs",,,,,,Yellow,,,,,,,,,,,,,Chain Extension,,,,,,,,,,,,,,"5,400 lbs",,Polyester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.65,,,,,,,,,,,,,,,,,,,,,,,,bundle-size-ratchet-strap-with-chain-anchor,,capacity-ratchet-strap-with-chain-anchor,,,,,,color-ratchet-strap-with-chain-anchor,,,,,,,,,,,,,ending-fitting-ratchet-strap-with-chain-anchor,,,,,,,,,,,,,,load-limit-ratchet-strap-with-chain-anchor,,material-ratchet-strap-with-chain-anchor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight-lbs-ratchet-strap-with-chain-anchor,,,
https://fleet-hero.com/products/plastic-corner-protector,Plastic Corner Protector,plastic-corner-protector,,,20.7 lb | 7.7 x 12.2 x 21.3 in,,,,,,,,"Flatbed strap and chain securement, pallet corner protection, lumber and steel edge guarding, crated machinery transport, warehouse freight handling, cargo damage prevention",,,,,,,7.7 x 12.2 x 21.3 in,20.7 lb,,,,,,,,,,,,,,,,,,,,"8"" x 8"" x 12"" per unit",,,,,,,,,,,,,,,,,,,,Rigid Plastic,,,,,,90-degree corner guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-pcs-box-plastic-corner-protector,,,,,,,,applications-plastic-corner-protector,,,,,,,bulk-box-dimensions-plastic-corner-protector,bulk-box-weight-plastic-corner-protector,,,,,,,,,,,,,,,,,,,,dimensions-plastic-corner-protector,,,,,,,,,,,,,,,,,,,,material-plastic-corner-protector,,,,,,profile-plastic-corner-protector,,,,,,,,,,,,,,,,,,,variants-plastic-corner-protector,,,,,,,,
https://fleet-hero.com/products/metal-corner-protector,Metal Corner Protector,metal-corner-protector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silver / Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steel with rubber lining,,,,,"Flatbed cargo securement, sharp-edge load protection, commercial trucking, heavy freight, DOT-compliant tie-down setups",,,,,,,,,,"1-3/4"" to 2"" web, cable, and chain",,,Corner protector with rubber lining and corner recess,,,,,,,,,,,1.75 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color-metal-corner-protector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,material-metal-corner-protector,,,,,primary-applications-metal-corner-protector,,,,,,,,,,strap-compatibility-metal-corner-protector,,,style-metal-corner-protector,,,,,,,,,,,weight-metal-corner-protector,,,,
https://fleet-hero.com/products/logistics-strap-with-e-track-hook,Logistics Strap with E track Hook,logistics-strap-with-e-track-hook,,,,,,,,,,,,,,,,,"4,000 lbs",,,,,1-Pack,,"4,400 lbs",,,,,,Yellow,,,,,,,,,,E-track hook with ratchet,,,,,4 feet (approx.),51 inches,,,,,,,,,,,,,,,,,,"Enclosed trailer cargo securement, cargo van logistics, E-track rail systems, freight and logistics operations",,,,,,,,,,,16 feet,2 inches,,,,,,,,,,,Polyester,2.2 lbs,,,"1,333 lbs",,,,,,,,,,,,,,,,,breaking-strength-logistics-strap-with-e-track-hook,,,,,bundle-size-logistics-strap-with-e-track-hook,,capacity-logistics-strap-with-e-track-hook,,,,,,color-logistics-strap-with-e-track-hook,,,,,,,,,,end-fitting-logistics-strap-with-e-track-hook,,,,,fixed-end-length-logistics-strap-with-e-track-hook,fixed-end-to-ratchet-logistics-strap-with-e-track-hook,,,,,,,,,,,,,,,,,,primary-applications-logistics-strap-with-e-track-hook,,,,,,,,,,,strap-length-logistics-strap-with-e-track-hook,strap-width-logistics-strap-with-e-track-hook,,,,,,,,,,,webbing-material-logistics-strap-with-e-track-hook,weight-logistics-strap-with-e-track-hook,,,working-load-limit-logistics-strap-with-e-track-hook,
https://fleet-hero.com/products/ratchet-strap-with-flat-hook-1,Ratchet Strap with Flat Hook,ratchet-strap-with-flat-hook,,,,,,,,,,,,,,,,,,,,,,1-Pack,,"16,000 lbs",,,,,,Yellow,,,,,,,,,,,,Flat Hook,,,,,,,,,,,,,,,"5,400 lbs",,Polyester,,,,,,,,,,,,4in. x 30ft.,,,,30 feet,4 Inc,,,,,,,,,,,,14.10,,,,,,,,,,,,,,,,,,,,,,,,,bundle-size-ratchet-strap-with-flat-hook,,capacity-ratchet-strap-with-flat-hook,,,,,,color-ratchet-strap-with-flat-hook,,,,,,,,,,,,ending-fitting-ratchet-strap-with-flat-hook,,,,,,,,,,,,,,,load-limit-ratchet-strap-with-flat-hook,,material-ratchet-strap-with-flat-hook,,,,,,,,,,,,size-ratchet-strap-with-flat-hook,,,,strap-length-ratchet-strap-with-flat-hook,strap-width-ratchet-strap-with-flat-hook,,,,,,,,,,,,weight-ratchet-strap-with-flat-hook,,,,
https://fleet-hero.com/products/rubber-coil-mat,Rubber Coil Mat,rubber-coil-mat,,,,,,,,,,,,,,,,,,,,,,1-Pack,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,48 inches,,,High-density fiber-reinforced rubber,,,,,"Steel coil transport, flatbed cargo stabilization, coil securement, heavy freight load protection",,,,,,,,,,,,,,"1/2 inch (0.5"")",,,,,,,,,,2.6 lbs,,6 inches,,,,,,,,,,,,,,,,,,,,,,,bundle-size-rubber-coil-mat,,,,,,,,color-rubber-coil-mat,,,,,,,,,,,,,,,,,,,,,,,,,,length-rubber-coil-mat,,,material-rubber-coil-mat,,,,,primary-applications-rubber-coil-mat,,,,,,,,,,,,,,thickness-rubber-coil-mat,,,,,,,,,,weight-rubber-coil-mat,,width-rubber-coil-mat,,
https://fleet-hero.com/products/coil-cuff-coil-corner-protector,"Coil Cuff (Coil corner protector) 24"" Long",coil-cuff-coil-corner-protector-24-long,,,,,,,,,,,,,,,,,,,,,,Sold as a pair (set of 2),,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,3-5/16 inches,,,,,24 inches,,,High-strength steel with reinforced rubber padding,,,,,"Steel coil transport, flatbed cargo securement, coil edge protection, chain abrasion prevention",,,,,,,,,,,,,,,,,,,Not a load-bearing device; designed for coil edge protection and chain slippage prevention,,,,,8.0 lbs (per pair),,3-3/8 inches,,,,,,,,,,,,,,,,,,,,,,,bundle-size-coil-cuff-coil-corner-protector-24-long,,,,,,,,color-coil-cuff-coil-corner-protector-24-long,,,,,,,,,,,,,,,,,,,,,height-coil-cuff-coil-corner-protector-24-long,,,,,length-coil-cuff-coil-corner-protector-24-long,,,material-coil-cuff-coil-corner-protector-24-long,,,,,primary-applications-coil-cuff-coil-corner-protector-24-long,,,,,,,,,,,,,,,,,,,usage-note-coil-cuff-coil-corner-protector-24-long,,,,,weight-coil-cuff-coil-corner-protector-24-long,,width-coil-cuff-coil-corner-protector-24-long,,
https://fleet-hero.com/products/winch,Winch,winch,,,,,,,,,,,,,,,,,"16,500 lbs",,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixing bolt and nut,,,Manual,,,"Flatbed cargo securement, strap tensioning, commercial trucking, trailer winch replacement and addition",,,,,,,"4 inches (150mm), Standard Profile",,,"2"", 3"", and 4"" straps",,,,,,Standard Double L Track (LL Track),,,,,,,,7.15 lbs,,,"5,500 lbs",,,,,,,,,,,,,,,,,breaking-strength-winch,,,,,,,,,,,,,color-winch,,,,,,,,,,,,,,,,,,,,,,,,,,,,locking-mechanism-winch,,,operation-winch,,,primary-applications-winch,,,,,,,size-winch,,,strap-compatibility-winch,,,,,,track-compatibility-winch,,,,,,,,weight-winch,,,working-load-limit-winch,
https://fleet-hero.com/products/corner-protector-plastic-36,Corner protector plastic 36'',corner-protector-plastic-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High-Density Polyethylene (HDPE),,,36 inches,,"Flatbed cargo securement, masonry and concrete product transport, pallet edge protection, strap abrasion prevention",,Yes,,,8 inches on each side,,,,,,,,,,"Up to 5 tie-downs, each up to 4"" wide",,,Yes,,,,,,3.40 lbs,,11 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,color-corner-protector-plastic-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,material-corner-protector-plastic-36,,,overall-length-corner-protector-plastic-36,,primary-applications-corner-protector-plastic-36,,reusable-corner-protector-plastic-36,,,side-drop-corner-protector-plastic-36,,,,,,,,,,tie-down-capacity-corner-protector-plastic-36,,,uv-resistance-corner-protector-plastic-36,,,,,,weight-corner-protector-plastic-36,,width-corner-protector-plastic-36,,
https://fleet-hero.com/products/winch-strap-with-flat-hook-4-x-40,"Winch Strap with Flat Hook 4"" x 40'",winch-strap-with-flat-hook-4-x-40,,,,,,,,,,"Flatbed cargo securement, step deck tie-down, lumber, steel, machinery, equipment hauling",,,30 feet / 40 feet,,Fleet Hero logo,"16,200 lbs",,,,,,,,,,,,,,,,Designed to support FMCSA 49 CFR Part 393 cargo securement standards,,,,,,,,,,,,,,,,,,,,,,Flat hook,"Flatbed trailers, step decks, RGN trailers, owner-operators, fleet drivers, heavy haul operators",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yellow,,,,4 inches,,"5,400 lbs",,,,,,,,,application-winch-strap-with-flat-hook-4-x-40,,,available-lengths-winch-strap-with-flat-hook-4-x-40,,branding-winch-strap-with-flat-hook-4-x-40,break-strength-bs-winch-strap-with-flat-hook-4-x-40,,,,,,,,,,,,,,,,compliance-winch-strap-with-flat-hook-4-x-40,,,,,,,,,,,,,,,,,,,,,,hook-type-winch-strap-with-flat-hook-4-x-40,ideal-for-winch-strap-with-flat-hook-4-x-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,webbing-color-winch-strap-with-flat-hook-4-x-40,,,,width-winch-strap-with-flat-hook-4-x-40,,working-load-limit-wll-winch-strap-with-flat-hook-4-x-40
